Date,BTC_FUTURES_High,BTC_FUTURES_Low,BTC_FUTURES_Open,BTC_FUTURES_Close,BTC_FUTURES_Volume,BTC_FUTURES_AdjClose
2020-01-23,8705.0,8290.0,8665.0,8370.0,13847.0,8370.0
2020-01-24,8540.0,8235.0,8410.0,8495.0,9837.0,8495.0
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,9020.0,8575.0,8595.0,8995.0,13131.0,8995.0
2020-01-28,9215.0,8895.0,8935.0,9060.0,15878.0,9060.0
2020-01-29,9480.0,9040.0,9040.0,9390.0,12121.0,9390.0
2020-01-30,9570.0,9160.0,9335.0,9555.0,15041.0,9555.0
2020-01-31,9555.0,9180.0,9555.0,9277.6298828125,9428.0,9277.6298828125
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,9790.0,9270.0,9495.0,9410.0,8918.0,9410.0
2020-02-04,9440.0,9130.0,9355.0,9255.0,8189.0,9255.0
2020-02-05,9945.0,9225.0,9245.0,9830.0,14307.0,9830.0
2020-02-06,10010.0,9685.0,9800.0,9895.0,12014.0,9895.0
2020-02-07,10030.0,9740.0,9805.0,9845.0,8523.0,9845.0
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,10360.0,9510.0,10200.0,9935.0,6779.0,9935.0
2020-02-11,10570.0,9790.0,9930.0,10405.0,15832.0,10405.0
2020-02-12,10620.0,10315.0,10325.0,10525.0,13010.0,10525.0
2020-02-13,10670.0,10160.0,10505.0,10305.0,16242.0,10305.0
2020-02-14,10635.0,10210.0,10305.0,10495.0,8771.0,10495.0
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,10365.0,9505.0,9980.0,10250.0,20878.0,10250.0
2020-02-19,10545.0,9245.0,10280.0,10225.0,9019.0,10225.0
2020-02-20,9735.0,9405.0,9735.0,9615.0,3918.0,9615.0
2020-02-21,9830.0,9600.0,9650.0,9740.0,2125.0,9740.0
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,10075.0,9480.0,9935.0,9600.0,7379.0,9600.0
2020-02-25,9695.0,9240.0,9640.0,9320.0,4061.0,9320.0
2020-02-26,9395.0,8595.0,9385.0,8780.0,7637.0,8780.0
2020-02-27,8980.0,8520.0,8780.0,8890.0,3897.0,8890.0
2020-02-28,8905.0,8430.0,8825.0,8662.990234375,3889.0,8662.990234375
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,9030.0,8540.0,8645.0,8975.0,2157.0,8975.0
2020-03-03,8995.0,8740.0,8990.0,8770.0,2956.0,8770.0
2020-03-04,8910.0,8700.0,8830.0,8760.0,1842.0,8760.0
2020-03-05,9250.0,8795.0,8805.0,9195.0,3734.0,9195.0
2020-03-06,9250.0,9060.0,9140.0,9165.0,1827.0,9165.0
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,8280.0,7640.0,8265.0,7850.0,9510.0,7850.0
2020-03-10,8175.0,7755.0,7835.0,7995.0,5067.0,7995.0
2020-03-11,8025.0,7610.0,7990.0,7855.0,3910.0,7855.0
2020-03-12,8000.0,5595.0,7840.0,6010.0,16034.0,6010.0
2020-03-13,5935.0,4210.0,5775.0,5330.0,15531.0,5330.0
2020-03-14,,,,,,
2020-03-15,,,,,,
2020-03-16,5850.0,4390.0,5850.0,4930.0,14879.0,4930.0
2020-03-17,5525.0,4835.0,4975.0,5380.0,6875.0,5380.0
2020-03-18,5475.0,4990.0,5440.0,5340.0,8746.0,5340.0
2020-03-19,6410.0,5275.0,5380.0,6240.0,8961.0,6240.0
2020-03-20,6950.0,5665.0,6275.0,6210.0,6787.0,6210.0
2020-03-21,,,,,,
2020-03-22,,,,,,
2020-03-23,6650.0,5685.0,6060.0,6300.0,8329.0,6300.0
2020-03-24,6885.0,6395.0,6450.0,6725.0,7837.0,6725.0
2020-03-25,6995.0,6465.0,6740.0,6630.0,5175.0,6630.0
2020-03-26,6805.0,6520.0,6600.0,6675.0,3497.0,6675.0
2020-03-27,6855.0,6570.0,6755.0,6648.35986328125,2372.0,6648.35986328125
2020-03-28,,,,,,
2020-03-29,,,,,,
2020-03-30,6535.0,5835.0,6045.0,6380.0,4341.0,6380.0
2020-03-31,6660.0,6340.0,6505.0,6475.0,2305.0,6475.0
2020-04-01,6465.0,6155.0,6455.0,6210.0,2656.0,6210.0
2020-04-02,7345.0,6380.0,6400.0,6865.0,9591.0,6865.0
2020-04-03,7100.0,6625.0,6890.0,6800.0,3943.0,6800.0
2020-04-04,,,,,,
2020-04-05,,,,,,
2020-04-06,7375.0,6785.0,6820.0,7330.0,10939.0,7330.0
2020-04-07,7515.0,7105.0,7350.0,7330.0,7749.0,7330.0
2020-04-08,7475.0,7160.0,7195.0,7335.0,3066.0,7335.0
2020-04-09,7415.0,7090.0,7335.0,7290.0,2793.0,7290.0
2020-04-10,,,,,,
2020-04-11,,,,,,
2020-04-12,,,,,,
2020-04-13,7160.0,6555.0,7160.0,6810.0,5395.0,6810.0
2020-04-14,7010.0,6785.0,6855.0,6950.0,2232.0,6950.0
2020-04-15,6950.0,6685.0,6895.0,6740.0,2144.0,6740.0
2020-04-16,7205.0,6465.0,6735.0,7105.0,6364.0,7105.0
2020-04-17,7235.0,7010.0,7105.0,7080.0,1863.0,7080.0
2020-04-18,,,,,,
2020-04-19,,,,,,
2020-04-20,7255.0,6765.0,7200.0,6795.0,4302.0,6795.0
2020-04-21,6960.0,6780.0,6875.0,6890.0,2879.0,6890.0
2020-04-22,7195.0,6830.0,6920.0,7115.0,3504.0,7115.0
2020-04-23,7805.0,7045.0,7115.0,7540.0,8039.0,7540.0
2020-04-24,7620.0,7400.0,7610.0,7460.85986328125,2367.0,7460.85986328125
2020-04-25,,,,,,
2020-04-26,,,,,,
2020-04-27,7905.0,7645.0,7665.0,7780.0,2872.0,7780.0
2020-04-28,7875.0,7735.0,7845.0,7780.0,1762.0,7780.0
2020-04-29,9065.0,7780.0,7800.0,8825.0,9729.0,8825.0
2020-04-30,9560.0,8480.0,8940.0,8930.0,10524.0,8930.0
2020-05-01,9145.0,8655.0,8850.0,8840.0,5127.0,8840.0
2020-05-02,,,,,,
2020-05-03,,,,,,
2020-05-04,9060.0,8600.0,8965.0,8935.0,3992.0,8935.0
2020-05-05,9225.0,8835.0,9055.0,8985.0,4675.0,8985.0
2020-05-06,9515.0,8980.0,9035.0,9340.0,6330.0,9340.0
2020-05-07,10115.0,9105.0,9370.0,10010.0,12108.0,10010.0
2020-05-08,10220.0,9820.0,10010.0,10030.0,6747.0,10030.0
2020-05-09,,,,,,
2020-05-10,,,,,,
2020-05-11,9275.0,8220.0,8820.0,8795.0,19225.0,8795.0
2020-05-12,9050.0,8560.0,8680.0,8870.0,6912.0,8870.0
2020-05-13,9430.0,8830.0,8845.0,9270.0,5001.0,9270.0
2020-05-14,10070.0,9355.0,9400.0,9725.0,8874.0,9725.0
2020-05-15,9930.0,9170.0,9855.0,9395.0,7857.0,9395.0
2020-05-16,,,,,,
2020-05-17,,,,,,
2020-05-18,10035.0,9515.0,9795.0,9745.0,7691.0,9745.0
2020-05-19,9955.0,9505.0,9745.0,9680.0,6700.0,9680.0
2020-05-20,9895.0,9330.0,9755.0,9570.0,6276.0,9570.0
2020-05-21,9610.0,8815.0,9585.0,9075.0,8797.0,9075.0
2020-05-22,9285.0,8945.0,9185.0,9175.0,4564.0,9175.0
2020-05-23,,,,,,
2020-05-24,,,,,,
2020-05-25,,,,,,
2020-05-26,9065.0,8630.0,9050.0,8785.0,8287.0,8785.0
2020-05-27,9265.0,8810.0,8850.0,9170.0,5653.0,9170.0
2020-05-28,9555.0,9055.0,9095.0,9450.0,6137.0,9450.0
2020-05-29,9610.0,9350.0,9460.0,9443.4296875,3864.0,9443.4296875
2020-05-30,,,,,,
2020-05-31,,,,,,
2020-06-01,9775.0,9465.0,9530.0,9650.0,3656.0,9650.0
